igsn,campaign,kit_id,transect_location,Ca_meq_100g,Mg_meq_100g,Na_meq_100g,K_meq_100g,CEC_meq_100g,Al_meq_100g
IEEXG001N,EC1,K004,upland,4.22,1.51,0.04,0.38,6.15,NA
IEEXG001Q,EC1,K004,transition,6.16,2.84,0.13,0.43,9.56,NA
IEEXG001K,EC1,K004,wetland,7.44,2.86,0.37,0.57,11.24,NA
IEEXG003F,EC1,K008,upland,3.49,1.07,0.04,0.22,4.82,NA
IEEXG003I,EC1,K008,transition,9.61,4.63,1.31,0.41,15.96,NA
IEEXG003C,EC1,K008,wetland,5.33,1.54,0.36,0.18,7.41,NA
IEEXG003V,EC1,K009,upland,4.32,2.56,0.15,0.72,7.79,0.04
IEEXG003Y,EC1,K009,transition,4.37,1.31,0.09,0.18,5.95,NA
IEEXG003S,EC1,K009,wetland,7.54,2.28,0.21,0.3,10.33,NA
IEEXG004B,EC1,K010,upland,3.26,1.73,0.04,0.24,5.27,NA
IEEXG004E,EC1,K010,transition,3.58,1.46,0.12,0.13,5.29,NA
IEEXG0048,EC1,K010,wetland,3.51,1.21,0.18,0.19,5.09,NA
IEEXG004R,EC1,K011,upland,2.44,1.67,0.05,0.2,4.4,0.04
IEEXG004U,EC1,K011,transition,2.13,1.42,0.11,0.11,3.77,NA
IEEXG004O,EC1,K011,wetland,5.97,1.64,0.21,0.23,8.05,NA
IEEXG0054,EC1,K012,wetland,4.1,0.87,0.12,0.05,5.14,NA
IEEXG005N,EC1,K013,upland,2.34,0.59,0.03,0.08,3.08,0.04
IEEXG005Q,EC1,K013,transition,3.44,2.48,3.09,0.2,9.21,NA
IEEXG005K,EC1,K013,wetland,7.8,3.76,0.23,0.32,12.11,NA
IEEXG0060,EC1,K014,wetland,1.19,0.54,0.1,0.13,2.03,0.07
IEEXG006J,EC1,K015,upland,1.04,1.46,0.35,0.25,3.23,0.13
IEEXG006M,EC1,K015,transition,1.26,1.5,1.13,0.19,4.08,NA
IEEXG006G,EC1,K015,wetland,2.06,12.74,55.59,2.32,72.71,NA
IEEXG006Z,EC1,K016,upland,1.91,8.72,14.92,0.96,26.6,0.09
IEEXG0072,EC1,K016,transition,0.7,2.45,4.3,0.22,7.67,NA
IEEXG006W,EC1,K016,wetland,2.34,14.22,69.87,3.02,89.49,0.04
IEEXG007F,EC1,K017,upland,0.98,0.74,0.04,0.14,2.09,0.19
IEEXG007I,EC1,K017,transition,1.2,1.64,2.06,0.14,5.08,0.04
IEEXG007C,EC1,K017,wetland,1.84,7.81,12.39,0.91,22.95,NA
IEEXG008B,EC1,K019,upland,7.08,2.45,0.07,1.12,10.77,0.05
IEEXG008E,EC1,K019,transition,1.99,1.07,0.08,0.14,3.28,NA
IEEXG0088,EC1,K019,wetland,0.98,0.76,0.05,0.09,1.92,0.04
IEEXG008R,EC1,K020,upland,4.04,1.75,0.06,0.38,6.36,0.13
IEEXG0097,EC1,K021,upland,5.45,1.81,0.2,0.22,7.68,NA
IEEXG009A,EC1,K021,transition,8.21,5.51,0.2,0.55,14.47,NA
IEEXG0094,EC1,K021,wetland,7.2,3.3,0.39,0.3,11.19,NA
IEEXG009N,EC1,K022,upland,5.01,3.37,0.08,0.92,9.38,NA
IEEXG009Q,EC1,K022,transition,9.63,6.08,0.48,0.59,16.78,NA
IEEXG009K,EC1,K022,wetland,8.65,5.41,0.39,0.36,14.85,0.04
IEEXG00A3,EC1,K023,upland,0.09,0.36,0.07,0.3,2.47,1.65
IEEXG00A0,EC1,K023,wetland,4.18,1.36,0.8,0.28,6.69,0.07
IEEXG00AJ,EC1,K024,upland,2.08,8.17,17.29,1.12,29.48,0.82
IEEXG00AM,EC1,K024,transition,2.41,10.84,15.61,1.31,30.23,0.06
IEEXG00AZ,EC1,K025,upland,0.2,0.73,0.06,0.29,7.09,5.81
IEEXG00B2,EC1,K025,transition,2.69,6.07,5.3,0.52,14.62,0.04
IEEXG00AW,EC1,K025,wetland,1.59,9.02,42.6,1.83,55.08,0.04
IEEXG00BF,EC1,K026,upland,0.81,0.19,0.06,0.24,1.3,NA
IEEXG00BI,EC1,K026,transition,2.32,7.87,3.97,0.62,14.84,0.06
IEEXG00BC,EC1,K026,wetland,1.45,3.66,3.91,0.42,9.44,NA
IEEXG00CR,EC1,K029,upland,0.83,3.78,9.99,0.97,18.18,2.61
IEEXG00CU,EC1,K029,transition,2.86,12.56,23.64,1.38,40.55,0.11
IEEXG00CO,EC1,K029,wetland,1.68,8.53,21.73,1.47,33.41,NA
IEEXG00D7,EC1,K030,upland,3.19,10.22,2.34,1.63,17.54,0.16
IEEXG00D4,EC1,K030,wetland,1.38,7.43,22.61,1.34,32.76,NA
IEEXG00EJ,EC1,K033,upland,1.48,0.63,0.08,0.11,2.41,0.11
IEEXG00EG,EC1,K033,wetland,2.85,0.99,0.87,0.29,5.05,0.05
IEEXG00EZ,EC1,K034,upland,1.45,2.93,2.11,0.36,6.85,NA
IEEXG00F2,EC1,K034,transition,2.27,7.75,10.33,0.66,21.05,0.04
IEEXG00EW,EC1,K034,wetland,2.4,6.45,6.51,0.64,16,NA
IEEXG00FF,EC1,K035,upland,3.43,1.67,0.08,0.27,5.45,NA
IEEXG00FI,EC1,K035,transition,2.61,12.65,40.74,1.69,57.73,0.04
IEEXG00FC,EC1,K035,wetland,2.3,11.78,37.23,2.29,53.6,NA
IEEXG00FV,EC1,K036,upland,1.93,8.35,13.11,0.88,24.43,0.16
IEEXG00FY,EC1,K036,transition,2.47,11.27,22.04,0.95,36.79,0.06
IEEXG00FS,EC1,K036,wetland,2.69,12.62,36.77,1.87,53.95,NA
IEEXG00G8,EC1,K037,wetland,2.73,3.27,1.85,0.37,8.22,NA
IEEXG00GR,EC1,K038,upland,2.17,1.13,0.05,0.27,3.81,0.19
IEEXG00GO,EC1,K038,wetland,6.17,2.12,0.33,0.2,8.87,0.05
IEEXG00H7,EC1,K039,upland,0.5,0.24,0.03,0.08,1.05,0.2
IEEXG00HA,EC1,K039,transition,12.29,5.52,0.45,0.23,18.49,NA
IEEXG00H4,EC1,K039,wetland,9.57,5.04,0.34,0.22,15.17,NA
IEEXG00HN,EC1,K040,upland,1.88,3.25,0.69,0.51,6.85,0.52
IEEXG00HQ,EC1,K040,transition,2.9,17.8,76.36,2.67,99.87,0.14
IEEXG00HK,EC1,K040,wetland,1.07,6.7,31.12,1.4,40.29,NA
IEEXG00I3,EC1,K041,upland,2.61,3.52,0.54,0.85,8.12,0.6
IEEXG00I6,EC1,K041,transition,3.64,21.02,87.32,3.26,115.3,0.06
IEEXG00I0,EC1,K041,wetland,0.44,2.77,12.18,0.53,15.92,NA
IEEXG00IJ,EC1,K042,upland,3.71,2.54,0.13,0.31,6.69,NA
IEEXG00IM,EC1,K042,transition,7.12,4.3,0.55,0.23,12.2,NA
IEEXG00IG,EC1,K042,wetland,3.15,2.13,0.56,0.28,6.12,NA
IEEXG00JF,EC1,K044,upland,2.68,3.01,0.07,0.71,6.78,0.31
IEEXG00JI,EC1,K044,transition,1.64,6.55,18.78,0.84,29.14,1.33
IEEXG00JC,EC1,K044,wetland,1.58,6.47,12.94,0.97,21.96,NA
IEEXG00JV,EC1,K045,upland,0.7,0.96,0.08,0.32,4.47,2.41
IEEXG00JY,EC1,K045,transition,0.79,0.69,0.14,0.11,4.12,2.39
IEEXG00JS,EC1,K045,wetland,3.36,1.33,0.53,0.44,5.76,0.1
IEEXG00KB,EC1,K046,upland,1.62,3.4,2.08,0.33,7.97,0.54
IEEXG00K8,EC1,K046,wetland,1.82,11.57,45.68,2.17,61.24,NA
IEEXG00KR,EC1,K047,upland,6,2.4,0.05,0.53,8.98,NA
IEEXG00KU,EC1,K047,transition,2.35,0.51,0.19,0.06,3.11,NA
IEEXG00KO,EC1,K047,wetland,7.6,5.38,1.27,0.55,14.8,NA
IEEXG00L7,EC1,K048,upland,3.49,1.99,0.06,0.46,6,NA
IEEXG00LA,EC1,K048,transition,3.98,2.6,0.45,0.23,7.3,0.04
IEEXG00L4,EC1,K048,wetland,1.97,1.27,0.32,0.16,3.76,0.04
IEEXG00LN,EC1,K049,upland,0.25,0.21,0.03,0.03,0.52,NA
IEEXG00LQ,EC1,K049,transition,0.46,0.3,0.03,0.04,0.83,NA
IEEXG00LK,EC1,K049,wetland,0.78,0.34,0.03,0.03,1.18,NA
IEEXG00M6,EC1,K050,transition,1.05,0.58,0.04,0.12,1.84,0.05
IEEXG00M0,EC1,K050,wetland,0.84,0.44,0.25,0.2,1.97,0.24
IEEXG00MJ,EC1,K051,upland,0.55,0.79,1.18,0.15,2.75,0.08
IEEXG00MM,EC1,K051,transition,1.05,5.74,15.31,0.66,22.76,NA
IEEXG00MG,EC1,K051,wetland,4.13,2.55,7.48,0.36,14.55,0.03
IEEXG00MZ,EC1,K052,upland,0.38,0.99,0.64,0.34,2.4,0.05
IEEXG00N2,EC1,K052,transition,0.25,0.56,0.53,0.16,1.58,0.08
IEEXG00NF,EC1,K053,upland,3.14,0.63,0.14,0.11,4.06,0.04
IEEXG00NI,EC1,K053,transition,1.91,0.52,0.13,0.11,2.71,0.04
IEEXG00NC,EC1,K053,wetland,0.64,2.81,0.87,0.52,4.84,NA
IEEXG00NV,EC1,K054,upland,0.42,0.39,0.08,0.08,2.32,1.35
IEEXG00NY,EC1,K054,transition,1.23,5.14,15.65,0.89,23.49,0.58
IEEXG00NS,EC1,K054,wetland,3.12,15.06,45.21,1.8,65.19,NA
IEEXG00OB,EC1,K055,upland,0.26,0.22,0.04,0.11,1.13,0.5
IEEXG00OR,EC1,K056,upland,1.82,7.79,19.18,1.05,29.95,0.11
IEEXG00OU,EC1,K056,transition,0.99,4.22,10.8,0.42,16.43,NA
IEEXG00OO,EC1,K056,wetland,2.42,14.67,68.1,2.94,88.17,0.04
IEEXG00PN,EC1,K058,upland,0.99,2.22,0.53,0.77,6.06,1.55
IEEXG00PQ,EC1,K058,transition,2.62,13.87,49.79,1.87,68.2,0.05
IEEXG00PK,EC1,K058,wetland,1.88,11.13,43.48,2.5,59.02,0.03
IEEXG00Q3,EC1,K059,upland,0.72,4.15,4.31,0.87,14.15,4.1
IEEXG00Q6,EC1,K059,transition,3.97,16.98,47.13,1.66,69.81,0.07
IEEXG00Q0,EC1,K059,wetland,3.98,22.63,84.7,3.15,114.46,NA
IEEXG00QZ,EC1,K061,upland,1.37,0.87,0.18,0.39,2.85,0.04
IEEXG00R2,EC1,K061,transition,0.29,1.08,1.77,0.25,4.45,1.06
IEEXG00QW,EC1,K061,wetland,1.52,3.19,4.08,0.45,9.24,NA
IEEXG00RF,EC1,K062,upland,1.25,3.07,0.06,0.56,9.91,4.97
IEEXG00RI,EC1,K062,transition,1.77,2.14,1.7,0.33,5.94,NA
IEEXG00RC,EC1,K062,wetland,2.07,11.31,28.39,NA,41.77,NA
