igsn,campaign,kit_id,transect_location,nitrogen_weight_perc
IEEXG001Q,EC1,K004,transition,0.751
IEEXG001N,EC1,K004,upland,0.434
IEEXG001K,EC1,K004,wetland,0.672
IEEXG003I,EC1,K008,transition,1.468
IEEXG003F,EC1,K008,upland,0.296
IEEXG003C,EC1,K008,wetland,0.51
IEEXG003Y,EC1,K009,transition,0.391
IEEXG003V,EC1,K009,upland,0.405
IEEXG003S,EC1,K009,wetland,0.82
IEEXG004E,EC1,K010,transition,0.309
IEEXG004B,EC1,K010,upland,0.39
IEEXG0048,EC1,K010,wetland,0.453
IEEXG004U,EC1,K011,transition,0.232
IEEXG004R,EC1,K011,upland,0.279
IEEXG004O,EC1,K011,wetland,0.629
IEEXG0054,EC1,K012,wetland,0.523
IEEXG005Q,EC1,K013,transition,1.036
IEEXG005N,EC1,K013,upland,1.079
IEEXG005K,EC1,K013,wetland,1.884
IEEXG0060,EC1,K014,wetland,0.257
IEEXG006M,EC1,K015,transition,0.165
IEEXG006J,EC1,K015,upland,0.464
IEEXG006G,EC1,K015,wetland,0.546
IEEXG0072,EC1,K016,transition,0.177
IEEXG006Z,EC1,K016,upland,1.289
IEEXG006W,EC1,K016,wetland,0.505
IEEXG007I,EC1,K017,transition,0.393
IEEXG007F,EC1,K017,upland,0.374
IEEXG007C,EC1,K017,wetland,0.738
IEEXG008E,EC1,K019,transition,0.129
IEEXG008B,EC1,K019,upland,0.633
IEEXG008R,EC1,K020,upland,0.633
IEEXG009A,EC1,K021,transition,1.104
IEEXG0097,EC1,K021,upland,0.526
IEEXG0094,EC1,K021,wetland,0.862
IEEXG009Q,EC1,K022,transition,2.714
IEEXG009N,EC1,K022,upland,0.688
IEEXG009K,EC1,K022,wetland,1.43
IEEXG00A3,EC1,K023,upland,1.596
IEEXG00A0,EC1,K023,wetland,1.419
IEEXG00AM,EC1,K024,transition,0.821
IEEXG00AJ,EC1,K024,upland,1.079
IEEXG00AG,EC1,K024,wetland,1.393
IEEXG00B2,EC1,K025,transition,0.645
IEEXG00AZ,EC1,K025,upland,0.395
IEEXG00AW,EC1,K025,wetland,0.34
IEEXG00BI,EC1,K026,transition,1.119
IEEXG00BF,EC1,K026,upland,0.139
IEEXG00BC,EC1,K026,wetland,0.309
IEEXG00CU,EC1,K029,transition,1.499
IEEXG00CR,EC1,K029,upland,0.999
IEEXG00CO,EC1,K029,wetland,0.573
IEEXG00D7,EC1,K030,upland,1.441
IEEXG00D4,EC1,K030,wetland,0.507
IEEXG00EJ,EC1,K033,upland,0.583
IEEXG00EG,EC1,K033,wetland,0.379
IEEXG00F2,EC1,K034,transition,0.925
IEEXG00EZ,EC1,K034,upland,0.651
IEEXG00EW,EC1,K034,wetland,0.633
IEEXG00FI,EC1,K035,transition,0.974
IEEXG00FF,EC1,K035,upland,0.528
IEEXG00FC,EC1,K035,wetland,1.212
IEEXG00FY,EC1,K036,transition,1.404
IEEXG00FV,EC1,K036,upland,1.374
IEEXG00FS,EC1,K036,wetland,1.467
IEEXG00G8,EC1,K037,wetland,0.517
IEEXG00GR,EC1,K038,upland,0.438
IEEXG00GO,EC1,K038,wetland,0.847
IEEXG00HA,EC1,K039,transition,2.348
IEEXG00H7,EC1,K039,upland,0.208
IEEXG00H4,EC1,K039,wetland,2.573
IEEXG00HQ,EC1,K040,transition,1.184
IEEXG00HN,EC1,K040,upland,0.863
IEEXG00HK,EC1,K040,wetland,0.2
IEEXG00I6,EC1,K041,transition,1.446
IEEXG00I3,EC1,K041,upland,0.954
IEEXG00I0,EC1,K041,wetland,0.093
IEEXG00IM,EC1,K042,transition,1.054
IEEXG00IJ,EC1,K042,upland,0.523
IEEXG00IG,EC1,K042,wetland,0.724
IEEXG00JI,EC1,K044,transition,1.193
IEEXG00JF,EC1,K044,upland,1.075
IEEXG00JC,EC1,K044,wetland,0.52
IEEXG00JY,EC1,K045,transition,1.091
IEEXG00JV,EC1,K045,upland,1.379
IEEXG00JS,EC1,K045,wetland,0.942
IEEXG00K8,EC1,K046,wetland,0.586
IEEXG00KB,EC1,K046,upland,0.872
IEEXG00KU,EC1,K047,transition,0.431
IEEXG00KR,EC1,K047,upland,1.212
IEEXG00KO,EC1,K047,wetland,2.131
IEEXG00LA,EC1,K048,transition,0.69
IEEXG00L7,EC1,K048,upland,0.405
IEEXG00L4,EC1,K048,wetland,0.512
IEEXG00LQ,EC1,K049,transition,0.099
IEEXG00LN,EC1,K049,upland,0.005
IEEXG00M6,EC1,K050,transition,0.207
IEEXG00M3,EC1,K050,upland,1.157
IEEXG00M0,EC1,K050,wetland,0.677
IEEXG00MM,EC1,K051,transition,1.412
IEEXG00MJ,EC1,K051,upland,0.118
IEEXG00MG,EC1,K051,wetland,0.205
IEEXG00N2,EC1,K052,transition,0.113
IEEXG00MZ,EC1,K052,upland,0.206
IEEXG00NI,EC1,K053,transition,0.462
IEEXG00NF,EC1,K053,upland,0.51
IEEXG00NC,EC1,K053,wetland,1.011
IEEXG00NY,EC1,K054,transition,0.88
IEEXG00NV,EC1,K054,upland,0.389
IEEXG00NS,EC1,K054,wetland,1.09
IEEXG00OB,EC1,K055,upland,0.543
IEEXG00OU,EC1,K056,transition,0.399
IEEXG00OR,EC1,K056,upland,0.617
IEEXG00OO,EC1,K056,wetland,0.78
IEEXG00PQ,EC1,K058,transition,1.085
IEEXG00PN,EC1,K058,upland,1.451
IEEXG00PK,EC1,K058,wetland,0.555
IEEXG00Q6,EC1,K059,transition,1.315
IEEXG00Q3,EC1,K059,upland,0.966
IEEXG00Q0,EC1,K059,wetland,1.72
IEEXG00R2,EC1,K061,transition,0.163
IEEXG00QZ,EC1,K061,upland,0.207
IEEXG00QW,EC1,K061,wetland,0.42
IEEXG00RI,EC1,K062,transition,0.463
IEEXG00RF,EC1,K062,upland,0.374
IEEXG00RC,EC1,K062,wetland,0.811
